date,value
2020-10-26/2020-11-01,53.0
2020-11-30/2020-12-06,89.0
2020-12-28/2021-01-03,36.0
2021-02-01/2021-02-07,32.0
2021-03-01/2021-03-07,25.0
2021-03-29/2021-04-04,24.0
2021-04-26/2021-05-02,24.0
2021-05-31/2021-06-06,26.0
2021-06-28/2021-07-04,22.0
2021-07-26/2021-08-01,23.0
2021-08-30/2021-09-05,24.0
2021-09-27/2021-10-03,26.0
2021-11-01/2021-11-07,50.0
2021-11-29/2021-12-05,76.0
2021-12-27/2022-01-02,38.0
2022-01-31/2022-02-06,29.0
2022-02-28/2022-03-06,30.0
2022-03-28/2022-04-03,28.0
2022-04-25/2022-05-01,30.0
2022-05-30/2022-06-05,43.0
2022-06-27/2022-07-03,43.0
2022-08-01/2022-08-07,35.0
2022-08-29/2022-09-04,30.0
2022-09-26/2022-10-02,35.0
2022-10-31/2022-11-06,64.0
2022-11-28/2022-12-04,99.0
2022-12-26/2023-01-01,44.0
2023-01-30/2023-02-05,37.0
2023-02-27/2023-03-05,36.0
2023-03-27/2023-04-02,31.0
2023-05-01/2023-05-07,33.0
2023-05-29/2023-06-04,35.0
2023-06-26/2023-07-02,30.0
2023-07-31/2023-08-06,33.0
2023-08-28/2023-09-03,32.0
2023-09-25/2023-10-01,36.0
2023-10-30/2023-11-05,65.0
2023-11-27/2023-12-03,95.0
2024-01-01/2024-01-07,47.0
2024-01-29/2024-02-04,41.0
2024-02-26/2024-03-03,38.0
2024-04-01/2024-04-07,36.0
2024-04-29/2024-05-05,37.0
2024-05-27/2024-06-02,40.0
2024-07-01/2024-07-07,35.0
2024-07-29/2024-08-04,35.0
2024-08-26/2024-09-01,35.0
2024-09-30/2024-10-06,40.0
2024-10-28/2024-11-03,66.0
2024-11-25/2024-12-01,100.0
2024-12-30/2025-01-05,51.0
2025-01-27/2025-02-02,40.0
2025-02-24/2025-03-02,35.0
2025-03-31/2025-04-06,34.0
2025-04-28/2025-05-04,34.0
2025-05-26/2025-06-01,40.0
2025-06-30/2025-07-06,37.0
2025-07-28/2025-08-03,41.0
2025-09-01/2025-09-07,40.0
2025-09-29/2025-10-05,45.0
2025-10-27/2025-11-02,65.0
